,Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,club,year
0,"Ricciuto, Mark",21,13.04761905,4.619047619,7.714285714,20.76190476,0.428571429,0.19047619,0.428571429,0.619047619,2.857142857,3.857142857,2.523809524,1.571428571,1,1.285714286,0.047619048,7.523809524,12.85714286,0.476190476,0.380952381,1.142857143,0.666666667,ADL,1999
1,"McLeod, Andrew",22,12.77272727,3.727272727,5.772727273,18.54545455,0.954545455,0.590909091,0.045454545,1.590909091,1.409090909,3.909090909,3.545454545,1.363636364,0.454545455,0.909090909,0.318181818,9.045454545,9.636363636,0.454545455,0.727272727,0.772727273,0.954545455,ADL,1999
2,"James, Brett",22,8.227272727,2.590909091,9.545454545,17.77272727,0.090909091,0.454545455,0.045454545,0.909090909,1.136363636,2.045454545,3.181818182,1.409090909,1.227272727,0.727272727,0.227272727,8.045454545,9.909090909,0.227272727,0.5,0.818181818,0.136363636,ADL,1999
3,"Smart, Nigel",21,10.33333333,3.285714286,5.571428571,15.9047619,0.571428571,0.476190476,0.619047619,1.428571429,2.285714286,2.952380952,1.761904762,1.523809524,1,1.047619048,0.333333333,7.19047619,9.047619048,0.714285714,0.428571429,1.238095238,1.428571429,ADL,1999
4,"Bickley, Mark",18,9.666666667,3,8.444444444,18.11111111,0.388888889,0.222222222,0,1.388888889,1.166666667,3.666666667,3.833333333,1.222222222,1.055555556,0.666666667,0.111111111,7.222222222,11.22222222,0.277777778,0.111111111,0.444444444,0.5,ADL,1999
5,"Hart, Ben",21,10.9047619,4.285714286,3.857142857,14.76190476,0.142857143,0.095238095,0.619047619,1,3.523809524,1.142857143,1.047619048,1.571428571,1.047619048,0.714285714,0.095238095,5.904761905,8.428571429,0.285714286,0.19047619,0.761904762,0.714285714,ADL,1999
6,"Koster, Kym",20,8.85,2.15,5.75,14.6,0.3,0.3,0,2.2,0.9,3.65,2.95,0.75,0.85,1.1,0.15,7.7,7.75,0.15,0.25,1.4,0.55,ADL,1999
7,"Burton, Brett",21,10.38095238,4,2.80952381,13.19047619,1.19047619,0.80952381,0.19047619,0.952380952,0.571428571,3.380952381,1.952380952,1.523809524,0.80952381,1.428571429,0.095238095,6.80952381,6.285714286,1.619047619,1.333333333,1.285714286,0.428571429,ADL,1999
8,"Stevens, Mark",21,8.047619048,3.333333333,4.571428571,12.61904762,0.523809524,0.571428571,0.285714286,1.095238095,1.857142857,1.714285714,1,1.333333333,1.285714286,0.857142857,0.142857143,6.238095238,6.095238095,0.80952381,0.714285714,0.952380952,0.333333333,ADL,1999
9,"Johnson, Kane",15,9.666666667,3.4,6.8,16.46666667,0.4,0.2,0.066666667,0.8,1.266666667,3.733333333,2.133333333,1.8,0.8,0.733333333,0.2,5,11.46666667,0.333333333,0.4,1.266666667,1.066666667,ADL,1999
10,"Thiessen, James",18,8.888888889,3.444444444,4.666666667,13.55555556,0.722222222,0.444444444,0.055555556,1.055555556,1.111111111,4,1.111111111,1.722222222,0.444444444,0.5,0,4.888888889,8.666666667,0.277777778,0.388888889,0.333333333,0.833333333,ADL,1999
11,"Jarman, Darren",21,8.523809524,4.571428571,3,11.52380952,2.761904762,1.095238095,0,0.857142857,0.238095238,2.380952381,1,0.904761905,0.571428571,1.380952381,0.095238095,5.80952381,5.476190476,1.666666667,2.571428571,0.476190476,0.904761905,ADL,1999
12,"Edwards, Tyson",20,7.2,3.6,4.25,11.45,1,0.25,0,1.55,1.1,1.35,0.9,1.1,0.85,0.4,0.1,5.3,6.4,0.35,0.6,0.8,0.1,ADL,1999
13,"Goodwin, Simon",19,7.789473684,2.578947368,4.052631579,11.84210526,0.105263158,0.105263158,0,0.894736842,2.947368421,1.105263158,1.210526316,1.210526316,0.842105263,0.631578947,0,5.157894737,6.842105263,0.263157895,0.210526316,0.526315789,0.263157895,ADL,1999
14,"Bassett, Nathan",21,7.333333333,3.285714286,2.857142857,10.19047619,0.047619048,0,0.523809524,0.476190476,3.666666667,0.380952381,0.476190476,0.761904762,1.238095238,0.714285714,0,4.571428571,5.047619048,0.571428571,0.142857143,1.047619048,0.047619048,ADL,1999
15,"Robran, Matthew",16,7.4375,3.625,3.875,11.3125,0.875,0.6875,6.4375,0.875,0.3125,2.875,1.4375,0.875,0.5625,0.875,0.1875,5,6.375,0.9375,0.4375,1.5,0.375,ADL,1999
16,"Connell, Matthew",10,14.1,3.9,3.8,17.9,0.2,0.3,0,0.9,2.2,4.5,2.8,1.5,1,1.3,0,6.4,11.7,0.3,0.3,0.7,0.9,ADL,1999
17,"Pittman, David",15,6,3,3.733333333,9.733333333,0.4,0.266666667,17.46666667,0.2,1.266666667,1.6,3.066666667,1,1.466666667,1.2,0.4,5.066666667,4.333333333,0.866666667,0.4,1.333333333,0,ADL,1999
18,"Jameson, Rod",12,7.166666667,2.583333333,4.666666667,11.83333333,0.416666667,0.166666667,0,0.75,1.75,1.5,0.75,0.583333333,1,0.25,0.083333333,4.083333333,7.666666667,0.166666667,0.583333333,0.416666667,0.333333333,ADL,1999
19,"Vardy, Peter",11,8,3.727272727,3.181818182,11.18181818,1.454545455,1.181818182,0.090909091,0.545454545,0.181818182,3.090909091,0.636363636,1,0.454545455,1.090909091,0,5.363636364,6,0.272727273,1,0.727272727,0.181818182,ADL,1999
20,"Eccles, Andrew",8,10.125,2.375,4.875,15,0.5,0.25,0.125,1.375,1,3.75,2.125,0.625,0.75,0.25,0,5.625,9.25,0.375,0.25,0.875,0.125,ADL,1999
21,"Bond, Troy",10,7.4,2.6,3.2,10.6,0.9,0.7,0,0.6,1.2,2.2,1.3,1.2,0.9,0.9,0,4.3,6,0.2,0.8,0.1,1.4,ADL,1999
22,"Gallagher, David",12,5.333333333,1.083333333,2.583333333,7.916666667,0.166666667,0.166666667,0,0.916666667,1.333333333,1.666666667,1.166666667,1.25,0.75,0.25,0.166666667,4.333333333,4.083333333,0.083333333,0,0.75,0.666666667,ADL,1999
23,"Beinke, Bryan",11,6.090909091,3.818181818,1,7.090909091,0.727272727,0.727272727,0.090909091,0.727272727,0.181818182,2.454545455,0.181818182,0.363636364,0.545454545,0.636363636,0,3.454545455,3.818181818,1.363636364,1.454545455,0.272727273,0,ADL,1999
24,"McGregor, Ken",9,5.888888889,3.666666667,2.555555556,8.444444444,0.555555556,0.444444444,1.777777778,0.444444444,0.111111111,2.777777778,0.777777778,0.777777778,1.111111111,1.111111111,0,5.444444444,3.555555556,1.666666667,1,0.555555556,0.111111111,ADL,1999
25,"Caven, Peter",8,6,2.5,3.25,9.25,0,0.375,0.125,1.25,2,0.375,0.75,0.875,1,0.5,0,3.875,5,0.125,0.25,0.375,1.125,ADL,1999
26,"Herbert, Lucas",14,1.928571429,1.428571429,2.714285714,4.642857143,0.071428571,0.071428571,8.357142857,0.357142857,0.428571429,0.857142857,1.357142857,0.428571429,0.642857143,0.642857143,0,3.285714286,1.785714286,0.428571429,0.214285714,0.5,0,ADL,1999
27,"Ormond-Allen, Trent",9,5,2.111111111,1.888888889,6.888888889,0,0,1,1,0.888888889,0.666666667,0.666666667,0.444444444,0.555555556,0.666666667,0,2.777777778,3.555555556,0.444444444,0.111111111,0.777777778,0,ADL,1999
28,"Liptak, Matthew",4,8.25,4.25,4.25,12.5,1,0.25,0,1.5,0.25,2.75,2.75,0.75,0,0.5,0.5,3.25,9.75,0.25,1,1.25,0.25,ADL,1999
29,"Golding, Matthew",7,2.714285714,1.428571429,2.714285714,5.428571429,0,0,5.285714286,0.142857143,0.285714286,1,2.285714286,0.285714286,0.428571429,0.428571429,0,4.142857143,1.714285714,0.714285714,0,1,0,ADL,1999
30,"Atkinson, Brodie",5,4.6,1.8,2.8,7.4,0.2,0,0,1.2,0.8,1.4,1.6,1.2,0.6,1,0,3.2,4.4,0.2,0.2,0.4,0,ADL,1999
31,"Ellen, Shane",6,3.666666667,1.833333333,1.666666667,5.333333333,0.166666667,0.166666667,0,0.333333333,0.333333333,1.666666667,0.666666667,0.666666667,0.666666667,0.5,0,2.5,3,0.166666667,0.166666667,0.166666667,0,ADL,1999
32,"Wintle, Darryl",3,5,1.666666667,5.333333333,10.33333333,0,0.333333333,0,0.666666667,0.666666667,2,3.333333333,0.333333333,1,1,0,5.333333333,5,0.333333333,0,0,0,ADL,1999
33,"Downsborough, Ian",4,5,1.75,2,7,0.25,0,7.5,1,0.25,1,1.75,0.25,0.25,0.75,0,4.25,2.5,0.5,0.25,0.75,0,ADL,1999
34,"Stenglein, Tyson",4,5.25,1.75,1.5,6.75,0,0.25,0,0.75,1.5,1,0.75,0.5,0.5,0.5,0,2.75,3.75,0.25,0,0.5,0,ADL,1999
35,"Perrie, Ian",2,3.5,1,4,7.5,0,0,0.5,1,0.5,1.5,2.5,1,1,1,0,3,5,0.5,0,1,0,ADL,1999
36,"Howard, Dean",2,1,0,1.5,2.5,0,0,0,0,0,1,1,0.5,0.5,0.5,0,2.5,1.5,0,0,0,0,ADL,1999
37,"Marsh, Ben",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ADL,1999
0,"Ashcroft, Marcus",25,14.28,3.68,8.72,23,0.64,0.32,0,2.44,1.56,4.36,4.36,1.64,0.56,0.56,0.24,8.68,14.4,0.16,0.36,0.88,0.8,BRS,1999
1,"Scott, Chris",24,15.125,6.25,6.25,21.375,0.166666667,0.166666667,0.25,1.416666667,2.708333333,4.625,2,1.583333333,1.041666667,0.875,0.291666667,7.125,14.04166667,0.916666667,0.375,1.666666667,0.541666667,BRS,1999
2,"Akermanis, Jason",24,13.79166667,4.375,5.75,19.54166667,0.666666667,0.291666667,0,1.5,3.125,3.833333333,1.791666667,1.541666667,1.041666667,0.75,0.541666667,7.875,11.125,0.541666667,0.375,1.416666667,1.416666667,BRS,1999
